Activity Date,Activity Type,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain
2024-12-08 16:24:30-08:00,Run,23.467,2.349,9.946,4.331,33.793
2024-12-14 20:23:03-08:00,Run,23.133,2.299,9.077,4.295,81.037
2024-12-17 10:36:46-08:00,Run,17.317,1.796,7.532,4.49,44.619
2024-12-27 04:55:37-08:00,Run,13.383,1.168,5.987,3.776,7.218
2024-12-30 15:46:55-08:00,Run,16.483,1.703,7.982,4.471,52.822
2025-01-08 16:34:31-08:00,Run,23.583,2.293,7.95,4.204,39.042
2025-01-18 11:05:44-08:00,Run,25.25,2.336,8.884,3.999,54.462
2025-01-20 16:54:48-08:00,Run,9.55,1.075,7.274,4.862,0.0
2025-01-25 16:43:40-08:00,Run,27.9,2.51,5.794,3.888,122.703
2025-01-30 15:59:58-08:00,Run,21.733,2.013,6.405,4.007,20.341
2025-02-03 17:15:04-08:00,Run,21.617,1.988,9.801,3.972,12.139
2025-02-17 17:30:12-08:00,Run,22.467,2.119,6.18,4.078,17.388
2025-03-03 17:56:28-08:00,Run,10.15,1.131,6.373,4.818,0.0
2025-03-07 17:10:40-08:00,Run,21.95,2.113,14.574,4.157,17.717
2025-03-26 13:38:26-07:00,Run,10.383,1.075,6.598,4.49,27.559
2025-03-27 14:25:00-07:00,Run,7.95,1.007,18.427,5.489,35.433
2025-03-29 18:01:50-07:00,Run,9.833,1.013,7.628,4.451,8.202
2025-03-29 18:14:02-07:00,Run,5.683,0.59,7.21,4.513,0.0
2025-04-04 15:28:00-07:00,Run,14.6,1.56,8.1,4.627,8.858
2025-04-07 17:18:22-07:00,Run,8.717,1.031,7.274,5.132,0.0
2025-04-11 15:22:35-07:00,Run,20.0,2.038,7.982,4.402,17.717
2025-04-21 16:45:57-07:00,Run,19.883,2.063,7.226,4.485,19.685
2025-05-02 19:55:43-07:00,Run,8.667,1.069,7.242,5.34,0.0
2025-05-04 19:53:24-07:00,Run,8.583,1.05,7.693,5.283,0.0
2025-05-12 19:32:00-07:00,Run,22.417,2.417,17.619,4.664,20.669
2025-05-16 19:09:33-07:00,Run,18.333,2.001,11.298,4.711,15.42
2025-05-19 17:35:13-07:00,Run,8.85,1.019,7.339,4.971,0.0
2025-05-23 15:40:21-07:00,Run,19.717,2.044,6.244,4.476,19.029
2025-05-28 15:49:56-07:00,Run,24.933,2.448,6.212,4.241,12.467
2025-06-04 17:45:01-07:00,Run,15.383,1.591,12.167,4.468,9.186
2025-06-13 12:10:55-07:00,Run,10.167,1.081,8.175,4.604,27.559
2025-06-18 20:14:06-07:00,Run,19.017,1.914,6.759,4.344,41.339
2025-07-08 20:59:38-07:00,Run,15.583,1.504,8.69,4.168,31.168
2025-07-29 20:39:31-07:00,Run,16.0,1.64,6.244,4.427,27.887
2025-08-03 11:02:40-07:00,Run,20.3,2.001,7.532,4.26,38.058
2025-08-05 17:40:04-07:00,Run,17.483,1.79,6.759,4.418,37.73
2025-08-06 17:55:44-07:00,Run,9.1,1.0,6.598,4.764,10.827
2025-08-17 20:08:15-07:00,Run,19.883,1.976,6.598,4.294,38.386
2025-08-19 18:04:26-07:00,Run,19.383,2.019,7.306,4.505,42.979
2025-09-10 18:31:29-07:00,Run,13.667,1.404,6.663,4.437,37.073
2025-09-12 14:39:50-07:00,Run,9.4,1.025,7.467,4.731,21.982
2025-09-14 19:12:15-07:00,Run,21.4,2.088,6.148,4.212,63.648
2025-09-26 16:55:17-07:00,Run,17.85,1.802,5.987,4.363,20.341
2025-09-28 15:34:58-07:00,Run,17.883,1.858,5.922,4.495,22.638
2025-10-02 12:40:03-07:00,Run,17.667,1.802,6.212,4.414,20.669
2025-10-07 17:15:44-07:00,Run,4.217,0.541,7.306,5.588,0.0
2025-10-12 17:34:11-07:00,Run,26.917,2.715,5.858,4.355,28.871
2025-10-16 17:24:02-07:00,Run,8.083,1.019,8.272,5.465,0.0
2025-10-19 17:03:03-07:00,Run,29.567,3.045,6.244,4.45,27.559
2025-10-23 17:32:05-07:00,Run,7.833,1.0,8.272,5.531,0.0
2025-10-31 16:52:19-07:00,Run,7.583,1.013,8.787,5.773,0.0
